,0
0,2013-07-31
1,2013-08-26
2,2013-10-09
3,2013-11-21
4,2014-02-14
5,2014-07-30
6,2014-08-05
7,2014-11-13
8,2015-01-07
9,2015-03-16
10,2015-10-13
11,2015-12-23
12,2016-02-08
13,2016-02-24
14,2016-04-12
15,2016-06-07
16,2016-06-21
17,2016-08-24
18,2016-09-07
19,2016-09-28
20,2017-01-05
21,2017-05-31
22,2017-06-06
23,2017-10-04
24,2017-11-02
25,2018-02-07
26,2018-03-21
27,2018-05-22
