,0,Var_90
0,77329.30000000024,NaN
1,-138520.75000000006,NaN
2,24633.20000000004,NaN
3,-140093.29999999993,NaN
4,145503.1499999999,NaN
5,-161536.6500000001,NaN
6,-73437.55000000016,NaN
7,-100764.15000000027,NaN
8,10255.900000000722,NaN
9,15623.749999999898,NaN
10,-15677.300000000017,NaN
11,-47379.95000000013,NaN
12,81586.1999999999,NaN
13,12685.349999999453,NaN
14,-45116.74999999959,NaN
15,-229071.99999999977,NaN
16,-192300.89999999988,NaN
17,-104652.79999999976,NaN
18,33512.30000000002,NaN
19,-36148.800000000396,NaN
20,-177180.50000000006,NaN
21,63043.85000000014,NaN
22,-175234.00000000006,NaN
23,140757.84999999998,NaN
24,-221320.04999999958,NaN
25,69345.84999999976,NaN
26,159264.0999999995,NaN
27,-26661.7499999993,NaN
28,167073.34999999998,NaN
29,75007.95000000032,NaN
30,-73917.90000000052,NaN
31,-161092.24999999916,NaN
32,-245596.60000000044,NaN
33,-44251.09999999967,NaN
34,95022.94999999976,NaN
35,137653.2000000002,NaN
36,41766.24999999988,NaN
37,256311.3999999999,NaN
38,121471.24999999991,NaN
39,-64208.49999999945,NaN
40,-34023.800000000556,NaN
41,-40156.30000000005,NaN
42,-121396.25000000023,NaN
43,43729.7500000001,NaN
44,30712.40000000011,NaN
45,13434.100000000137,NaN
46,68094.9000000004,NaN
47,23245.249999999767,NaN
48,-15489.749999999753,NaN
49,57676.349999999846,NaN
50,43443.55000000015,NaN
51,35620.99999999988,NaN
52,-45622.15000000007,NaN
53,-45654.700000000215,NaN
54,-118362.00000000015,NaN
55,-152167.7,NaN
56,27119.750000000175,NaN
57,27170.899999999674,NaN
58,-109646.35000000018,NaN
59,127748.40000000058,NaN
60,9452.500000000058,NaN
61,52402.550000000134,NaN
62,33617.50000000013,NaN
63,-326557.49999999965,NaN
64,95586.49999999985,NaN
65,19300.90000000014,NaN
66,65320.94999999995,NaN
67,10707.950000000157,NaN
68,-67127.75000000006,NaN
69,104025.6499999997,NaN
70,-2291.1000000002095,NaN
71,-20845.04999999993,NaN
72,-94313.0,NaN
73,-44838.25000000003,NaN
74,-173374.04999999987,NaN
75,-32489.349999999846,NaN
76,-119001.75000000012,NaN
77,-56086.39999999998,NaN
78,140714.69999999995,NaN
79,-44159.04999999971,NaN
80,-81848.10000000003,NaN
81,1395.0999999998312,NaN
82,-136377.0499999998,NaN
83,-99362.0000000002,NaN
84,-90963.69999999972,NaN
85,34093.500000000146,NaN
